customer_id,date,consumption,billing_amount,customer_type,meter_type,location,fraud_class
C10008,2022-08-08,126.17936512729169,194.26904769093753,Commercial,Analog,Irbid_South,0
C10024,2019-01-26,17.14860875111621,30.722913126674314,Residential,Analog,Irbid_North,0
C10085,2021-01-15,17.10438139912266,30.656572098683988,Residential,Analog,Irbid_North,0
C10050,2020-08-18,27.055263340160568,45.582895010240854,Residential,Analog,Irbid_East,0
C10096,2019-04-26,28.781179938232313,48.17176990734847,Residential,Analog,Center,0
C10060,2018-10-28,76.53650438967988,119.80475658451982,Commercial,Analog,Irbid_East,0
C10032,2019-02-25,46.2638357812882,74.3957536719323,Commercial,Analog,Irbid_West,1
C10032,2022-08-08,9.932645654693346,19.89896848204002,Commercial,Analog,Irbid_West,1
C10010,2020-12-16,66.97415713547434,105.46123570321151,Commercial,Analog,Irbid_East,0
C10057,2022-05-10,40.127147281392,65.19072092208799,Residential,Analog,Center,0
C10087,2018-04-01,16.689605879114715,30.034408818672073,Residential,Analog,Center,1
C10093,2020-09-17,29.285702181380536,48.9285532720708,Residential,Analog,Irbid_East,0
C10077,2020-04-20,24.987515051355484,42.481272577033224,Residential,Digital,Irbid_East,0
C10090,2020-10-17,29.591024840486984,49.38653726073048,Residential,Digital,Irbid_West,0
C10006,2021-10-12,112.21642656812058,173.32463985218087,Commercial,Digital,Irbid_South,0
C10080,2022-05-10,19.806471700778797,34.709707551168194,Residential,Digital,Irbid_East,0
C10031,2021-04-15,25.27557877344155,42.91336816016232,Residential,Analog,Irbid_West,0
C10099,2020-12-16,32.38548886752946,53.57823330129419,Commercial,Analog,Irbid_South,0
C10002,2019-07-25,89.44787558410901,139.17181337616353,Commercial,Analog,Irbid_South,0
C10061,2020-08-18,32.942484151512446,54.41372622726867,Residential,Analog,Irbid_South,0
C10024,2022-05-10,37.85192829502894,61.77789244254341,Residential,Analog,Irbid_North,0
C10097,2022-07-09,62.39297082313918,98.58945623470876,Commercial,Analog,Center,0
C10056,2021-10-12,19.179283337613565,33.768925006420346,Residential,Analog,Irbid_North,0
C10022,2022-07-09,19.91810694586723,34.87716041880084,Residential,Analog,Irbid_North,0
C10100,2020-11-16,22.07070682306094,38.10606023459141,Residential,Analog,Center,0
C10090,2020-12-16,19.343579605847257,34.01536940877089,Residential,Digital,Irbid_West,0
C10089,2018-04-01,10.24581036683027,20.368715550245405,Residential,Analog,Irbid_East,0
C10059,2020-12-16,22.59087642948914,38.88631464423371,Residential,Analog,Center,0
C10013,2020-03-21,26.651437994168347,44.97715699125252,Residential,Digital,Irbid_South,0
C10018,2019-06-25,28.283603891572554,47.42540583735883,Residential,Digital,Irbid_West,1
C10051,2018-08-29,34.01633909458618,56.024508641879265,Residential,Digital,Irbid_South,0
C10038,2021-12-11,21.411811704996833,37.11771755749525,Residential,Digital,Center,0
C10041,2018-09-28,64.8624249097045,102.29363736455676,Commercial,Analog,Irbid_North,0
C10003,2021-11-11,15.166967114683882,27.75045067202582,Residential,Analog,Irbid_West,0
C10005,2019-11-22,20.428896461224927,35.64334469183739,Residential,Digital,Irbid_West,0
C10052,2020-01-21,10.89954962805343,21.349324442080146,Residential,Analog,Irbid_South,0
C10029,2019-03-27,58.28692611876762,92.43038917815143,Commercial,Analog,Irbid_South,1
C10070,2018-05-01,15.507768313534015,28.261652470301023,Residential,Analog,Irbid_North,0
C10091,2022-03-11,13.587386472842049,25.381079709263073,Residential,Smart,Irbid_South,0
C10030,2021-06-14,38.44151693320364,62.66227539980545,Residential,Analog,Irbid_East,0
C10026,2022-09-07,13.743898844138409,25.615848266207614,Residential,Analog,Irbid_East,0
C10023,2018-01-31,12.615720293300662,23.923580439950992,Residential,Digital,Irbid_West,0
C10097,2019-04-26,48.9250744443738,78.3876116665607,Commercial,Analog,Center,0
C10066,2021-06-14,82.73133978915506,129.09700968373258,Commercial,Analog,Irbid_East,0
C10063,2020-08-18,28.53775688623932,47.806635329358976,Residential,Smart,Center,0
C10071,2018-11-27,34.24337434013468,56.36506151020202,Commercial,Analog,Irbid_East,0
C10077,2019-06-25,28.47238774166984,47.70858161250476,Residential,Digital,Irbid_East,0
C10009,2022-07-09,41.91906414495667,67.878596217435,Residential,Analog,Irbid_East,0
C10045,2018-05-01,72.78733823150323,114.18100734725485,Commercial,Digital,Center,0
C10089,2020-10-17,9.592303228038137,19.388454842057207,Residential,Analog,Irbid_East,0
C10036,2019-12-22,28.403426987840685,47.605140481761026,Residential,Analog,Center,1
C10072,2021-09-12,33.93848298177386,55.90772447266079,Residential,Analog,Irbid_West,0
C10022,2021-06-14,19.882597213120324,34.82389581968049,Residential,Analog,Irbid_North,0
C10014,2018-04-01,15.681402363629424,28.522103545444136,Residential,Digital,Center,1
